store,app_id,app_name,rating,date,request_snippet,full_text,india_signal
play,org.instaquit.app,QuitSure: Quit Smoking Smartly,1,2026-02-14 22:20:55,Wish it notified me at the beginning of the questions that this is a subscription based service.,. Wish it notified me at the beginning of the questions that this is a subscription based service. I just spent 20 minutes answering questions only to find out I have to pay. Please delete my details from your databases and do not share my details. Thanks.,False
play,org.instaquit.app,QuitSure: Quit Smoking Smartly,1,2026-01-05 18:27:14,"Might work for some people, just know that you're not missing any secret knowledge if you decide not to go with it.",". 79€ per month for subscription is predatory pricing feeding of vulnerable people who are willing to try anything to quit smoking. Might work for some people, just know that you're not missing any secret knowledge if you decide not to go with it.",False
play,org.instaquit.app,QuitSure: Quit Smoking Smartly,1,2026-01-04 12:10:44,App asked to sign in and fill details and directly displayed to buy subscription 😂 atleast you should have given any tip trick or something to gain trust.,. Gimmick to earn money . App asked to sign in and fill details and directly displayed to buy subscription 😂 atleast you should have given any tip trick or something to gain trust. Making an eye catchy advertisement is not everything. After seeing their subscription plan i smoked 2 more out of anger 😂,False
play,fr.kwit.android,Kwit - Quit smoking for good!,1,2023-09-10 18:44:05,"Now that I'm reading the passive aggressive replies from the developer to anyone who didn't give a positive review, I'm realizing I should have read those first and taken it as a huge red flag.",". App is triggering for me. The notification icon is a cigarette with a line through it. Don't need a picture of a cigarette every few hours to remind me. Also, the constant prompts to pay for more was irritating. Now that I'm reading the passive aggressive replies from the developer to anyone who didn't give a positive review, I'm realizing I should have read those first and taken it as a huge red flag. There are similar apps. Try one of those.",False
play,fr.kwit.android,Kwit - Quit smoking for good!,1,2020-08-19 23:04:17,"I haven't used that ap, but still giving one star because it is not compatible with Android 10 working perfectly fine with older devices which was too useful for my friend, please make the changes so that I could also able to use it.",". I haven't used that ap, but still giving one star because it is not compatible with Android 10 working perfectly fine with older devices which was too useful for my friend, please make the changes so that I could also able to use it.",False
play,fr.kwit.android,Kwit - Quit smoking for good!,1,2018-12-17 07:46:01,"Have only just installed the app and plan to start using it once my quit date is reached, which brings me to my review (That will change once I start down the good path)  You should add a planned quit day option, or the option to list when you plan too.",". Have only just installed the app and plan to start using it once my quit date is reached, which brings me to my review (That will change once I start down the good path)  You should add a planned quit day option, or the option to list when you plan too. The current calendar only lists todays date, and previous days, that can be selected.  Would help for those of us who are getting on the path to quit as well. I will update my review once that date has come :)",False
play,com.franciscogaribay.quitsmokingalive,Quit Smoking Gradually: Alive,1,2024-10-18 03:10:55,Wish it supported vaping,. Wish it supported vaping,False
play,stopSmokingDemo.team.geny,Qwit – Quit Smoking App,2,2017-03-02 17:06:35,Please give us the option of the old look.,. Please give us the option of the old look. Especially the main icon. The new one is ridiculous.,False
play,com.app.easystopsmoking,Easy Quit Smoking & Vaping,2,2012-08-12 05:53:38,Should have option to not dl video,. Still wont download full audio. Should have option to not dl video,False
play,com.missingapps.quitvaping,Quit Vaping - Quit the Vape,1,2025-04-25 23:35:23,I can't get past the reason for quitting page 😤😡 There no option to move forward.,. I can't get past the reason for quitting page 😤😡 There no option to move forward.,False
play,com.nusrApp.nusrApp.Sigarametre,Cigarette Counter and Tracker,2,2023-11-26 21:37:03,1 * down for widget not resizing not showing counts 1 * down because there is no option to set the day time instead of counting a new day after 12 am 1 * down because cigarettes count isn't directly shown beside counter or in widget The app is good but I found another app with fixed widget & directl,. 1 * down for widget not resizing not showing counts 1 * down because there is no option to set the day time instead of counting a new day after 12 am 1 * down because cigarettes count isn't directly shown beside counter or in widget The app is good but I found another app with fixed widget & directly counts cigarettes & most important that it asks you to set the time for the new day to start Instead of counting after 12 am as a new day,False
play,com.hatchi.cigArrete,Quit smoking - CigArrête,1,2023-12-14 23:48:17,"4 stars, missing one because of the paywall App won't launch anymore",". 4 stars, missing one because of the paywall App won't launch anymore",False
