category,feature,apps_offering,pct_apps
Coaching,CBT (cognitive behavioral therapy),7,8.0
Coaching,AI coach / chatbot,6,6.9
Coaching,Personalized quit plan,6,6.9
Coaching,Hypnosis / hypnotherapy audio,3,3.4
Coaching,Human coach / therapist,1,1.1
Coping,Trigger identification,28,32.2
Coping,Journal / diary,19,21.8
Coping,Meditation / mindfulness,8,9.2
Coping,Breathing exercises,6,6.9
Coping,Cravings panic button,3,3.4
Coping,Distraction games / mini-games,2,2.3
Coping,Mood tracking,1,1.1
Education,Articles / lessons / tips,4,4.6
Education,Audio / podcast,3,3.4
Education,Videos,3,3.4
Education,Quizzes / assessments,1,1.1
Engagement,Smart notifications / reminders,23,26.4
Engagement,Motivational quotes,11,12.6
Engagement,Daily check-in,3,3.4
Gamification,Achievements / badges,33,37.9
Gamification,Challenges,18,20.7
Gamification,Rewards / points,14,16.1
Gamification,Streaks,14,16.1
Health,Health milestones / recovery timeline,34,39.1
Health,Lung capacity / breath tracking,13,14.9
Health,Wearable / smartwatch support,7,8.0
Monetization,Subscription,22,25.3
Monetization,Free trial,8,9.2
Monetization,Free tier,5,5.7
Monetization,Lifetime purchase option,2,2.3
Monetization,Money-back guarantee,2,2.3
Nicotine,Vaping support,32,36.8
Nicotine,Nicotine reduction / step-down,14,16.1
Nicotine,Cold turkey method,13,14.9
Nicotine,NRT (patches / gum) tracking,5,5.7
Other substances,Alcohol support,4,4.6
Other substances,Cannabis / weed support,4,4.6
Other substances,Caffeine / sugar / general habit,1,1.1
Privacy,End-to-end / private,9,10.3
Privacy,Data export / backup,5,5.7
Privacy,Cloud sync,1,1.1
Social,Community / forum,23,26.4
Social,Buddy / accountability partner,4,4.6
Social,Anonymous / pseudonymous posting,3,3.4
Social,Success stories / testimonials,3,3.4
Tracking,Money saved tracker,47,54.0
Tracking,Cigarettes avoided counter,44,50.6
Tracking,Time since last cigarette,23,26.4
Tracking,Slip / relapse logger,16,18.4
Tracking,Craving logger,13,14.9
Tracking,Life regained / time saved,13,14.9
UX,Home screen widget,17,19.5
UX,Hindi / Indian language support,3,3.4
UX,Multi-language,3,3.4
UX,Dark mode,2,2.3
UX,Offline support,2,2.3
